# MJD residual_us
5.345026518960267276e+04 -2.209475983034711266e+00
5.345026518960955582e+04 -6.076421531655919139e+00
5.345026518961106922e+04 -4.007700958995379814e+00
5.345028290389438916e+04 -2.029128368278746652e+00
5.345028290389537869e+04 -6.525921820538922447e+00
5.345028290390396432e+04 -3.708797384792202667e+00
5.345028290390720213e+04 -2.752602078986235767e+00
5.345028290391255723e+04 -6.951972615264596200e+00
5.345028290391535847e+04 -6.689086913144402402e+00
5.345028290392127383e+04 -5.526666907620334968e+00
5.345028290392361669e+04 -7.654596592180248571e+00
5.345028290393008501e+04 -2.489871329470605854e+00
5.345028290393198404e+04 -5.269600536649308609e+00
5.345028290393891075e+04 -4.859440992369435719e+00
5.345028290394039504e+04 -5.232618515026794093e+00
5.353503487448491796e+04 5.438156964118973091e-02
5.353503487448729720e+04 2.218853351793507178e-01
5.353503487448846863e+04 2.063565908295965201e+00
5.353503487449372187e+04 2.543471341599562674e+00
5.353503487449562090e+04 -1.117473327839475283e+00
5.353503487449815293e+04 -3.089357131183486427e+00
5.353503487450251851e+04 -2.066626898643594501e+00
5.353503487450382818e+04 1.891172527235876144e+00
5.353503487450407556e+04 2.820870937688662483e+00
5.353503487451146793e+04 -6.647285344392910023e-02
5.353503487451246474e+04 -5.156416267644463147e+00
5.353503487451322871e+04 1.450031070508408959e+00
5.353503487452106492e+04 -9.430053035737794298e-01
5.353503487452268018e+04 -1.962653700978371551e+00
5.353503487452430272e+04 -1.072958887938260775e+00
5.353503487452971603e+04 7.056645835971516734e-01
5.353503487453226262e+04 -1.038034292564208094e+00
5.353503487453250273e+04 -8.069569167629512263e-01
5.353505466813762905e+04 2.060835388235750543e+01
5.353505466813972453e+04 -3.495935548614250710e+00
5.353505466814090323e+04 -1.788237327580877389e+00
5.353505466814616375e+04 -3.201044416878842669e-01
5.353505466814809188e+04 -1.411521720441628158e+00
5.353505466815066757e+04 -1.624315580617676225e-01
5.353505466815506225e+04 3.858399143964838185e+00
5.353505466815630643e+04 1.978953177723741907e+00
5.353505466815651016e+04 -4.685834707762911444e-01
5.353505466816393891e+04 -7.824399713290639546e-01
5.353505466816497938e+04 -2.012470963347043007e+00
5.353505466816570697e+04 1.550500617614796184e+00
5.353505466817355045e+04 -8.881185393583677923e-02
5.353505466817516572e+04 -1.489462880539403900e+00
5.353505466817680281e+04 1.143879157793895374e+00
5.353505466818214336e+04 -3.473966712677700741e+00
5.353505466818478453e+04 2.259796165025468984e+00
5.353505466818501736e+04 2.266967027225761377e+00
5.353605438681893429e+04 -7.813089885314004057e-01
5.353605438682618114e+04 8.456244916104056486e-01
5.353605438682738895e+04 4.961742436969807990e+00
5.353605438682993554e+04 4.033421383001745575e+00
5.353605438683501416e+04 -1.277957911606563357e+00
5.353605438684007095e+04 5.302873328360950822e-01
5.353605438684145338e+04 1.163707754876785794e+00
5.353605438684346154e+04 5.554065984887800234e+00
5.353605438685365516e+04 4.854024551360816453e+00
5.353605438685449917e+04 -1.024894482912604543e+00
5.353605438686192792e+04 3.734666885350491627e-01
5.353605438686639536e+04 4.555542792572313537e+00
5.353606058024231606e+04 -2.410076074493935128e+00
5.353606058024960657e+04 2.506380681938241484e+00
5.353606058025072707e+04 -2.750874378851360103e-01
5.353606058025328821e+04 -2.609581930010755266e-02
5.353606058025843231e+04 5.062438536939311007e-01
5.353606058026345272e+04 -1.292239376660934802e+00
5.353606058026483515e+04 -7.521606819165179703e-01
5.353606058026674145e+04 -5.238029975687771511e+00
5.353606058027700055e+04 -1.749364044658917594e-01
5.353606058027790277e+04 -1.016225745534819369e+00
5.353606058028539701e+04 6.412623932888061873e+00
5.353606058028974076e+04 -2.220592132106865846e-01
5.363975349882264709e+04 2.614491285454460190e+00
5.363975349882366572e+04 -4.616880798896930704e-01
5.363975349883221497e+04 -9.097851868828599198e-01
5.363975349883545277e+04 -1.427344103115222529e+00
5.363975349884088791e+04 2.959846207137204033e+00
5.363975349884371826e+04 4.616694148498005745e+00
5.363975349884962634e+04 6.307571403518808850e+00
5.363975349885196920e+04 2.496916692495117385e+00
5.363975349885829201e+04 -3.281395059230207245e+00
5.363975349886030017e+04 1.814212733699273050e+00
5.363975349886721233e+04 2.471203168613907764e+00
5.363975349886867480e+04 -1.158441074833556739e+00
5.363976808720697591e+04 5.237141594167360026e+00
5.363976808720796544e+04 -1.572587544843122992e-02
5.363976808721656562e+04 3.936684643326158195e+00
5.363976808721978887e+04 1.797073253937819803e+00
5.363976808722515125e+04 -2.405027370525397723e-02
5.363976808722803253e+04 5.723029919720458381e+00
5.363976808723381691e+04 -3.124290335148512288e+00
5.363976808723625436e+04 1.984238783306837561e+00
5.363976808724263537e+04 9.525815590109204534e-01
5.363976808724464354e+04 5.836171146493386530e+00
5.363976808725150477e+04 2.556117195920331486e+00
5.363976808725300361e+04 1.859278116196145580e+00
5.365172334689893614e+04 -3.836449233609467324e+00
5.365172334690621938e+04 -8.464751672641530611e-01
5.365172334690734715e+04 -3.966563646627528916e-01
5.365172334690990829e+04 -1.704301394665965752e+00
5.365172334691500873e+04 -3.394885961440669231e+00
5.365172334692146251e+04 -1.941800695088334416e+00
5.365172334692339791e+04 -2.240394364103169167e+00
5.365172334693364246e+04 -3.780706605918588981e-01
5.365172334694639721e+04 -2.015624270255735595e-01
5.369359110101306578e+04 7.667710932697475279e+00
5.369359110101492843e+04 9.470463076540187597e-01
5.369359110101748229e+04 2.680784283113911148e-01
5.369359110102182603e+04 -9.634427221872678138e-02
5.369359110102311388e+04 2.031662888822177937e+00
5.369359110102330305e+04 -2.158763439133560169e+00
5.369359110102726845e+04 -3.605951898054949645e+00
5.369359110103078274e+04 2.049835385947802457e+00
5.369359110103179410e+04 -1.081748144067687711e+00
5.369359110103257990e+04 6.958225998731284889e+00
5.369359110103720741e+04 -1.969428573296992724e+00
5.369359110104036517e+04 3.897248313820710908e-01
5.369359110104197316e+04 -1.448865298221832409e+00
5.369359110104364663e+04 3.800266092025640585e+00
5.369359110104901629e+04 2.466322161615665198e+00
5.369359110105155560e+04 -3.174444219935017020e-01
5.369359110105178843e+04 -8.907346250148734379e-01
5.369359110105782020e+04 1.096598042284725061e+01
5.369359110106008302e+04 1.260971676048222134e+00
5.369359110106126900e+04 3.700820953799577762e+00
5.369459018759713217e+04 -6.143814034505370003e+00
5.369459018760448816e+04 4.334365166744452047e+00
5.369459018760560866e+04 1.300703074342308474e+00
5.369459018760804611e+04 -8.954688715438383184e+00
5.369459018761336483e+04 6.377243088527271730e+00
5.369459018761833431e+04 6.648894953740507319e-01
5.369459018761967309e+04 -2.837082410448965142e+00
5.369459018762170308e+04 3.695047937217155187e+00
5.369459018763188942e+04 2.183623015220202745e+00
5.369459018763273343e+04 -3.751070348544482957e+00
5.369459018764010398e+04 -7.061400316418279921e+00
5.369459018764468783e+04 6.681389225877189197e+00
5.373646180674977222e+04 4.899181355277502981e+00
5.373646180675162032e+04 -2.521645222133257036e+00
5.373646180675419600e+04 -2.726217094089552706e+00
5.373646180675860523e+04 3.406953339270427872e+00
5.373646180675980577e+04 -2.411344793107166318e+00
5.373646180676007498e+04 1.582007647320295085e+00
5.373646180676414951e+04 7.665541596346830744e+00
5.373646180676748918e+04 -7.917113022240953590e-01
5.373646180676855874e+04 1.566159439263085096e+00
5.373646180676919903e+04 -3.697675231540992424e+00
5.373646180677375378e+04 -1.977822611083912463e+01
5.373646180677708617e+04 -8.710814696806281621e-01
5.373646180677874509e+04 9.348653112525232567e-01
5.373646180678033852e+04 9.322741593648425917e-01
5.373646180678564269e+04 -7.133060559835847414e+00
5.373646180678829114e+04 -1.408069720848856177e+00
5.373646180678853125e+04 3.418608018151870348e-02
5.373646180679437384e+04 -4.822493405135396927e+00
5.373646180679682584e+04 2.573161982509321266e+00
5.373646180679798272e+04 1.294226226705122329e+00
5.373647222460355988e+04 5.439715407681170456e-01
5.373647222460550984e+04 1.716256862231866354e+00
5.373647222460802732e+04 -3.342515253368100403e+00
5.373647222461247293e+04 5.393729809747192405e+00
5.373647222461363708e+04 -3.591704866965092169e+00
5.373647222461389174e+04 -5.481430247821080792e-01
5.373647222461791534e+04 9.261707484400431012e-01
5.373647222462135687e+04 1.429921665926095820e+00
5.373647222462237551e+04 -5.099385992753734387e-01
5.373647222462305945e+04 -2.067427487244273276e+00
5.373647222462778882e+04 -3.385049743325012628e+00
5.373647222463090293e+04 -2.822855868478612695e+00
5.373647222463261278e+04 3.416362405759593379e+00
5.373647222463423532e+04 5.901251240611331994e+00
5.373647222463952494e+04 -3.390550560787564116e+00
5.373647222464219521e+04 3.706020474585778324e+00
5.373647222464232618e+04 -3.418192383748836161e+00
5.373647222464830702e+04 3.153433661223270956e+00
