# MJD residual_seconds
5.356907960981801443e+04 5.829117704175451516e-06
5.356907960981846554e+04 4.987431538901482495e-06
5.356907960981893848e+04 5.179797977297667403e-06
5.356907960981940414e+04 5.195478080825668827e-06
5.356907960981986980e+04 5.002686015297888109e-06
5.356909477060163772e+04 4.700712077973081006e-06
5.356909477060210338e+04 5.967054944983138483e-06
5.356909477060254721e+04 4.458683465862259875e-06
5.356909477060302015e+04 5.229306925244941263e-06
5.356909477060347854e+04 5.061371484202373795e-06
5.356909477060393692e+04 4.528435240188233228e-06
5.356909477060442441e+04 6.089278032092281927e-06
5.356909477060488280e+04 5.394314051622127493e-06
5.362890394591145741e+04 6.366023254882158963e-06
5.362890394591352378e+04 6.833787472510812521e-06
5.362890394591558288e+04 5.741245188406180459e-06
5.362890394591768563e+04 6.426249494003592008e-06
5.362890394591978838e+04 6.142892487412054046e-06
5.362890394592192024e+04 6.135546163120634238e-06
5.362890394592407392e+04 7.322330806704189643e-06
5.362890394592623488e+04 6.593801870629338370e-06
5.362890394592841767e+04 6.677020487399815720e-06
5.362890394593061501e+04 6.652385189022794919e-06
5.362890394593283418e+04 6.269703835001027366e-06
5.362890394593507517e+04 6.433280854217627427e-06
5.362890394593733072e+04 6.606664322546297878e-06
5.362890394593960809e+04 6.355978454576393836e-06
5.362890394594190730e+04 6.461900022546427089e-06
5.362890394594422105e+04 6.254874985736075260e-06
5.362891440523079655e+04 6.379421996984945184e-06
5.362891440523286292e+04 6.721966712496811640e-06
5.362891440523493657e+04 6.581569346867159498e-06
5.362891440523702477e+04 6.705835444209162567e-06
5.362891440523913479e+04 6.376451119606375735e-06
5.362891440524126665e+04 6.721472985024155351e-06
5.362891440524340578e+04 6.173758966995713160e-06
5.362891440524558129e+04 7.383263586864091282e-06
5.362891440524775680e+04 6.555818905405345342e-06
5.362891440524996142e+04 6.731313484306752592e-06
5.362891440525218059e+04 6.801073771176031049e-06
5.362891440525442158e+04 6.829318387629021790e-06
5.362891440525667713e+04 6.524518286147463788e-06
5.362891440525894723e+04 6.301770583095798657e-06
5.362891440526124643e+04 6.428590443227403690e-06
5.362891440526356746e+04 6.837294640075210377e-06
5.362893353294253757e+04 6.658094643364222460e-06
5.362893353294299595e+04 6.833138057506134526e-06
5.362893353294344706e+04 6.771890313268861203e-06
5.362893353294391272e+04 6.682934242764411994e-06
5.362893353294437111e+04 6.641358984549701441e-06
5.362893353294483677e+04 6.657439177581558543e-06
5.362893353294530243e+04 6.577880954142843103e-06
